symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GS,2010-06-08 00:00:00+00:00,137.78,139.68,135.05,139.14,14587000,116.8432640729,118.4545443874,114.5281086736,117.9966015612,14587000,0.0,1.0
GS,2010-06-09 00:00:00+00:00,136.8,139.42,136.2201,138.59,8950600,116.0121826475,118.234053397,115.5204029346,117.5301783123,8950600,0.0,1.0
GS,2010-06-10 00:00:00+00:00,133.77,137.77,131.3001,137.6,21931000,113.4426145669,116.8347836502,111.3480349622,116.6906164641,21931000,0.0,1.0
GS,2010-06-11 00:00:00+00:00,135.64,136.05,133.0,133.33,9241800,115.0284536134,115.3761509444,112.7896220184,113.0694759678,9241800,0.0,1.0
GS,2010-06-14 00:00:00+00:00,133.44,137.11,133.4,137.11,10951400,113.1627606176,116.2750757514,113.1288389267,116.2750757514,10951400,0.0,1.0
GS,2010-06-15 00:00:00+00:00,136.9,137.4,133.3,134.63,10649300,116.0969868746,116.52100801,113.0440346996,114.1719309198,10649300,0.0,1.0
GS,2010-06-16 00:00:00+00:00,137.06,138.26,135.71,136.06,7077700,116.2326736379,117.2503243629,115.0878165723,115.3846313671,7077700,0.0,1.0
GS,2010-06-17 00:00:00+00:00,137.32,138.38,135.2184,136.95,8104300,116.4531646283,117.3520894354,114.670918992,116.1393889881,8104300,0.0,1.0
GS,2010-06-18 00:00:00+00:00,138.18,139.72,137.52,137.82,10154900,117.1824809812,118.4884660783,116.6227730825,116.8771857637,10154900,0.0,1.0
GS,2010-06-21 00:00:00+00:00,137.74,140.15,137.31,139.645,8691000,116.8093423821,118.8531242547,116.4446842056,118.424862908,8691000,0.0,1.0
GS,2010-06-22 00:00:00+00:00,134.79,137.75,134.59,137.54,9002200,114.3076176832,116.8178228048,114.138009229,116.6397339279,9002200,0.0,1.0
GS,2010-06-23 00:00:00+00:00,135.07,136.38,132.73,133.9,8232200,114.545069519,115.6560048938,112.5606506053,113.5528600621,8232200,0.0,1.0
GS,2010-06-24 00:00:00+00:00,134.98,135.98,133.11,134.14,9967900,114.4687457146,115.3167879854,112.8829066682,113.7563902071,9967900,0.0,1.0
GS,2010-06-25 00:00:00+00:00,139.66,140.9,135.425,136.99,14332300,118.437583542,119.4891559578,114.8461245251,116.173310679,14332300,0.0,1.0
GS,2010-06-28 00:00:00+00:00,136.66,140.38,136.53,140.38,9908100,115.8934567296,119.048173977,115.7832112344,119.048173977,9908100,0.0,1.0
GS,2010-06-29 00:00:00+00:00,133.76,135.85,133.17,134.98,10338100,113.4341341442,115.2065424902,112.9337892044,114.4687457146,10338100,0.0,1.0
GS,2010-06-30 00:00:00+00:00,131.27,134.3,131.0218,133.68,9139800,111.3225088899,113.8920769705,111.1120247983,113.3662907626,9139800,0.0,1.0
GS,2010-07-01 00:00:00+00:00,131.14,133.75,129.5,131.69,11645300,111.2122633947,113.4256537215,109.8214740705,111.6786866436,11645300,0.0,1.0
GS,2010-07-02 00:00:00+00:00,131.08,132.38,129.69,132.11,6566400,111.1613808584,112.2638358105,109.982602102,112.0348643974,6566400,0.0,1.0
GS,2010-07-06 00:00:00+00:00,132.26,134.39,131.07,133.74,7820100,112.162070738,113.9684007748,111.1529004357,113.4171732988,7820100,0.0,1.0
GS,2010-07-07 00:00:00+00:00,135.83,136.13,132.07,132.44,9300400,115.1895816448,115.4439943261,112.0009427065,112.3147183467,9300400,0.0,1.0
GS,2010-07-08 00:00:00+00:00,135.46,137.17,133.56,136.92,9895700,114.8758060046,116.3259582877,113.2645256901,116.11394772,9895700,0.0,1.0
GS,2010-07-09 00:00:00+00:00,138.06,138.5,134.59,135.36,6919900,117.0807159087,117.4538545079,114.138009229,114.7910017775,6919900,0.0,1.0
GS,2010-07-12 00:00:00+00:00,137.25,138.31,136.03,137.61,4728900,116.3938016694,117.2927264764,115.359190099,116.6990968869,4728900,0.0,1.0
GS,2010-07-13 00:00:00+00:00,140.25,141.2,138.11,138.5,8983900,118.9379284818,119.7435686391,117.1231180223,117.4538545079,8983900,0.0,1.0
GS,2010-07-14 00:00:00+00:00,139.06,139.59,137.655,139.29,6068500,117.9287581795,118.3782205831,116.737258789,118.1238079018,6068500,0.0,1.0
GS,2010-07-15 00:00:00+00:00,145.22,146.25,137.82,140.02,21621900,123.1526985678,124.0261821067,116.8771857637,118.7428787595,21621900,0.0,1.0
GS,2010-07-16 00:00:00+00:00,146.17,152.0,146.05,151.47,29604600,123.958338725,128.9024251639,123.8565736525,128.4529627604,29604600,0.0,1.0
GS,2010-07-19 00:00:00+00:00,145.68,147.7,144.1,147.67,10875900,123.5427980123,125.2558433994,122.2028912244,125.2304021313,10875900,0.0,1.0
GS,2010-07-20 00:00:00+00:00,148.91,149.73,141.55,142.18,20571400,126.2819745471,126.9773692091,120.0403834339,120.5746500645,20571400,0.0,1.0
GS,2010-07-21 00:00:00+00:00,146.99,150.97,146.86,150.05,11337000,124.6537333871,128.0289416249,124.5434878919,127.2487427358,11337000,0.0,1.0
